# Row: Curve numbers, Column: Min and Max
-2.014562798700305635e+00,3.227788603915718646e+00
-2.513007837757032625e+00,4.757162115434978134e+00
-4.989245124434946277e+00,3.567262462147086310e+00
-2.700195561315019699e+00,4.619430385575056697e+00
